BSSID,Channel,Privacy,Ciper,Auth,Power,ESSID,Lat,Lon
7C:4F:B5:90:76:E6,1,WPA2,CCMP,PSK,-73,Flower,,
7C:D1:C3:CF:64:AE,11,WPA2,CCMP,PSK,-77,FrankandSarah,,
7E:8F:E0:10:94:30,6,WPA2WPA,CCMP TKIP,PSK,-77,None,,
7E:8F:E0:41:C8:40,6,WPA2WPA,CCMP TKIP,PSK,-49,None,,
7E:8F:E0:44:F2:F0,6,WPA2WPA,CCMP TKIP,PSK,-73,None,,
7E:8F:E0:5E:41:8C,6,WPA2WPA,CCMP TKIP,PSK,-77,None,,
7E:8F:E0:5F:37:2C,6,WPA2WPA,CCMP TKIP,PSK,-73,None,,
7E:8F:E0:62:3F:C6,6,WPA2WPA,CCMP TKIP,PSK,-75,None,,
7E:8F:E0:62:43:22,11,WPA2WPA,CCMP TKIP,PSK,-81,None,,
7E:8F:E0:62:43:9A,6,WPA2WPA,CCMP TKIP,PSK,-47,None,,
7E:8F:E0:69:0E:78,6,WPA2WPA,CCMP TKIP,PSK,-79,None,,
7E:8F:E0:90:A6:E0,6,WPA2WPA,CCMP TKIP,PSK,-83,None,,
7E:8F:E0:9C:31:18,11,WPA2WPA,CCMP TKIP,PSK,-59,None,,
7E:8F:E0:9D:3D:D8,11,WPA2WPA,CCMP TKIP,PSK,-81,None,,
7E:8F:E0:B0:E2:F2,1,WPA2WPA,CCMP TKIP,PSK,-67,None,,
7E:8F:E0:C4:76:C8,6,WPA2WPA,CCMP TKIP,PSK,-55,None,,
7E:8F:E0:C5:65:F6,11,WPA2WPA,CCMP TKIP,PSK,-67,None,,
7E:8F:E0:D4:61:32,1,WPA2WPA,CCMP TKIP,PSK,-67,None,,
80:37:73:CD:D1:4A,11,WPA2WPA,CCMP TKIP,PSK,-77,RedRunner,,
80:37:73:DA:7E:5E,2,WPA2,CCMP,PSK,-79,panguitch -2.4,,
80:37:73:FD:EE:9A,6,WPA2,CCMP,PSK,-79,NETGEAR69,,
80:EA:96:EA:EC:A4,11,WPA2,CCMP,PSK,-77,Sarasvati,,
80:EA:96:EE:0D:5E,6,WPA2,CCMP,PSK,-71,Conformist NT,,
82:37:73:CD:D1:4B,11,WPA2,CCMP,PSK,-75,RedRunner-Guest,,
82:A4:EC:EA:96:E0,11,WPA2,CCMP,PSK,-77,Sarasvati Guests,,
84:00:2D:14:57:D8,1,WPA2WPA,CCMP TKIP,PSK,-77,HOME-9179-2.4,,
84:00:2D:14:57:D9,1,WPA2WPA,CCMP TKIP,PSK,-75,None,,
84:00:2D:14:57:DA,1,OPN,,,-73,xfinitywifi,,
84:00:2D:1C:A0:18,11,WPA2WPA,CCMP TKIP,PSK,-79,HOME-F880-2.4,,
84:00:2D:1C:A0:19,11,WPA2WPA,CCMP TKIP,PSK,-75,None,,
84:00:2D:1C:A0:1A,11,OPN,,,-79,xfinitywifi,,
84:00:2D:4F:04:38,11,WPA2WPA,CCMP TKIP,PSK,-65,littleman,,
84:00:2D:4F:04:39,11,WPA2WPA,CCMP TKIP,PSK,-63,None,,
84:00:2D:4F:04:3A,11,OPN,,,-65,xfinitywifi,,
84:00:2D:50:CB:5A,1,OPN,,,-75,xfinitywifi,,
84:00:2D:55:DE:C8,1,WPA2WPA,CCMP TKIP,PSK,-81,CBCI-46B4-2.4,,
84:00:2D:5C:5E:68,11,WPA2WPA,CCMP TKIP,PSK,-71,HOME-90E2-2.4,,
84:00:2D:5C:5E:69,11,WPA2WPA,CCMP TKIP,PSK,-69,None,,
84:00:2D:5C:5E:6A,11,OPN,,,-75,xfinitywifi,,
84:00:2D:5C:71:48,11,WPA2WPA,CCMP TKIP,PSK,-79,HOME-7A76-2.4,,
84:00:2D:5C:71:49,11,WPA2WPA,CCMP TKIP,PSK,-75,None,,
84:00:2D:5C:71:4A,11,OPN,,,-77,xfinitywifi,,
84:00:2D:5F:32:48,11,WPA2WPA,CCMP TKIP,PSK,-69,MetalMonkey-2.4,,
84:00:2D:5F:32:49,11,WPA2WPA,CCMP TKIP,PSK,-69,None,,
84:00:2D:5F:32:4A,11,OPN,,,-65,xfinitywifi,,
84:00:2D:85:32:B8,11,WPA2WPA,CCMP TKIP,PSK,-23,Corsair2p4,,
84:00:2D:85:32:B9,11,WPA2WPA,CCMP TKIP,PSK,-23,None,,
84:00:2D:85:32:BA,11,OPN,,,-23,xfinitywifi,,
84:00:2D:85:39:18,11,WPA2WPA,CCMP TKIP,PSK,-65,Bruno1,,
84:00:2D:85:39:19,11,WPA2WPA,CCMP TKIP,PSK,-63,None,,
84:00:2D:85:39:1A,11,OPN,,,-71,xfinitywifi,,
84:00:2D:89:9B:58,11,WPA2WPA,CCMP TKIP,PSK,-43,ALTAR,,
84:00:2D:89:9B:59,11,WPA2WPA,CCMP TKIP,PSK,-45,None,,
84:00:2D:89:9B:5A,11,OPN,,,-45,xfinitywifi,,
84:00:2D:BF:03:3A,11,OPN,,,-83,xfinitywifi,,
84:00:2D:C4:6D:6A,6,OPN,,,-75,xfinitywifi,,
84:00:2D:C9:28:78,11,WPA2WPA,CCMP TKIP,PSK,-77,ChrisandNikki,,
84:00:2D:C9:28:79,11,WPA2WPA,CCMP TKIP,PSK,-75,None,,
84:00:2D:C9:28:7A,11,OPN,,,-77,xfinitywifi,,
84:00:2D:E3:8C:CA,11,OPN,,,-55,xfinitywifi,,
84:00:2D:E7:71:28,6,WPA2WPA,CCMP TKIP,PSK,-75,HOME-083F-2.4,,
84:00:2D:E7:71:2A,6,OPN,,,-73,xfinitywifi,,
84:00:2D:E8:E5:E8,11,WPA2WPA,CCMP TKIP,PSK,-77,HOME-03F3-2.4,,
84:00:2D:E8:E5:E9,11,WPA2WPA,CCMP TKIP,PSK,-75,None,,
84:00:2D:E8:E5:EA,11,OPN,,,-75,xfinitywifi,,
84:00:2D:E9:20:88,1,WPA2WPA,CCMP TKIP,PSK,-79,HOME-52BD-2.4,,
84:00:2D:E9:20:8A,1,OPN,,,-79,xfinitywifi,,
84:00:2D:EB:0B:58,3,WPA2WPA,CCMP TKIP,PSK,-67,HOME-6618-2.4,,
84:00:2D:EB:0B:59,3,WPA2WPA,CCMP TKIP,PSK,-67,None,,
84:00:2D:EB:0B:5A,3,OPN,,,-69,xfinitywifi,,
84:00:2D:EB:3B:98,1,WPA2WPA,CCMP TKIP,PSK,-67,HOME-5ABF-2.4,,
84:00:2D:EB:3B:99,1,WPA2WPA,CCMP TKIP,PSK,-69,None,,
84:00:2D:EB:3B:9A,1,OPN,,,-81,xfinitywifi,,
84:00:2D:EF:6C:C0,11,WPA2WPA,CCMP TKIP,PSK,-65,HOME-D042-2.4,,
84:00:2D:EF:6C:C1,11,WPA2WPA,CCMP TKIP,PSK,-73,None,,
84:00:2D:EF:6C:C2,11,OPN,,,-65,xfinitywifi,,
84:00:2D:F0:2C:08,1,WPA2WPA,CCMP TKIP,PSK,-77,Wishbone,,
84:00:2D:F0:2C:09,1,WPA2WPA,CCMP TKIP,PSK,-75,None,,
84:00:2D:F0:2C:0A,1,OPN,,,-77,xfinitywifi,,
84:00:2D:F0:71:78,11,WPA2WPA,CCMP TKIP,PSK,-81,HOME-4581-2.4,,
84:00:2D:F0:71:7A,11,OPN,,,-67,xfinitywifi,,
84:00:2D:F5:17:79,6,WPA2WPA,CCMP TKIP,PSK,-79,None,,
84:00:2D:F5:17:7A,6,OPN,,,-83,xfinitywifi,,
84:1B:5E:32:54:88,1,WPA2,CCMP,PSK,-77,So Many Otters (2.4),,
84:1B:5E:33:9F:A3,1,WPA2,CCMP,PSK,-55,CohenNETGEAR57,,
84:1B:5E:41:A9:0B,1,WPA2,CCMP,PSK,-71,FREHC EHR,,
84:1B:5E:50:17:86,1,WPA2WPA,CCMP TKIP,PSK,-67,Leoroni_EXT,,
84:1B:5E:53:8A:87,6,WPA2,CCMP,PSK,-79,NETGEAR62,,
84:1B:5E:CF:47:A2,7,WPA2,CCMP,PSK,-79,NETGEAR20,,
84:4B:F5:67:19:CB,6,OPN,,,-71,HP-Print-CB-LaserJet 1102,,
84:D4:7E:B8:38:80,6,WPA2WPA,CCMP TKIP,PSK,-69,termscout-guest,,
84:D4:7E:B8:38:81,6,WPA2,CCMP,PSK,-65,termscout-wireless,,
86:2A:A8:07:4C:98,11,WPA2WPA,CCMP TKIP,PSK,-81,WoodWireless,,
86:EA:E8:E7:90:D6,11,OPN,,,-73,xfinitywifi,,
86:EA:E8:E7:AB:E3,11,OPN,,,-55,xfinitywifi,,
88:1F:A1:2F:19:7C,6,WPA2,CCMP,PSK,-79,Jefferson,,
88:1F:A1:32:37:B8,6,WPA2,CCMP,PSK,-63,Scoutland 6.2,,
88:1F:A1:36:2A:10,6,WPA2,CCMP,PSK,-71,WCS West,,
88:1F:A1:37:04:AC,6,OPN,,,-69,BadWolf,,
88:1F:A1:37:D2:C6,6,WPA2,CCMP,PSK,-73,The Farm,,
88:1F:A1:3F:9B:70,11,WPA2,CCMP,PSK,-63,Network,,
88:51:FB:0E:66:1C,2,OPN,,,-75,HP-Print-1C-Deskjet 3510 series,,
88:51:FB:20:FA:14,6,WPA2,CCMP,PSK,-77,HP-Print-14-Officejet Pro 8600,,
88:A0:CC:86:7B:EA,6,OPN,,,-77,SoundMate_7BEA,,
88:AD:43:00:46:28,6,WPA2WPA,CCMP TKIP,PSK,-75,HOME-9445-2.4,,
88:AD:43:00:46:29,6,WPA2WPA,CCMP TKIP,PSK,-73,None,,
88:AD:43:00:46:2A,6,OPN,,,-77,xfinitywifi,,
88:AD:43:03:F3:38,6,WPA2WPA,CCMP TKIP,PSK,-75,HOME-4320-2.4,,
88:AD:43:03:F3:39,6,WPA2WPA,CCMP TKIP,PSK,-79,None,,
88:AD:43:03:F3:3A,6,OPN,,,-77,xfinitywifi,,
88:AD:43:06:60:28,1,WPA2WPA,CCMP TKIP,PSK,-61,HOME-46E7-2.4,,
88:AD:43:06:60:29,1,WPA2WPA,CCMP TKIP,PSK,-61,None,,
88:AD:43:06:60:2A,1,OPN,,,-59,xfinitywifi,,
88:AD:43:06:B1:08,6,WPA2WPA,CCMP TKIP,PSK,-55,HOME-E2E9-2.4,,
88:AD:43:06:B1:09,6,WPA2WPA,CCMP TKIP,PSK,-59,None,,
88:AD:43:06:B1:0A,6,OPN,,,-61,xfinitywifi,,
88:AD:43:18:98:D8,1,WPA2WPA,CCMP TKIP,PSK,-65,Scrappers24,,
88:AD:43:18:98:D9,1,WPA2WPA,CCMP TKIP,PSK,-65,None,,
88:AD:43:18:98:DA,1,OPN,,,-65,xfinitywifi,,
88:AD:43:18:9A:7A,11,OPN,,,-79,xfinitywifi,,
88:AD:43:1D:C8:28,1,WPA2WPA,CCMP TKIP,PSK,-77,HOME-37EF-2.4,,
88:AD:43:1D:C8:29,1,WPA2WPA,CCMP TKIP,PSK,-73,None,,
88:AD:43:1F:2F:88,6,WPA2WPA,CCMP TKIP,PSK,-39,HOME-D926-2.4,,
88:AD:43:1F:2F:89,6,WPA2WPA,CCMP TKIP,PSK,-39,None,,
88:AD:43:1F:2F:8A,6,OPN,,,-37,xfinitywifi,,
88:AD:43:21:39:99,6,WPA2WPA,CCMP TKIP,PSK,-73,None,,
88:AD:43:21:39:9A,6,OPN,,,-75,xfinitywifi,,
88:AD:43:24:90:88,6,WPA2WPA,CCMP TKIP,PSK,-75,HOME-D93D-2.4,,
88:AD:43:24:90:8A,6,OPN,,,-71,xfinitywifi,,
88:AD:43:26:14:48,6,WPA2WPA,CCMP TKIP,PSK,-75,HOME-7565-2.4,,
88:AD:43:26:14:49,6,WPA2WPA,CCMP TKIP,PSK,-55,None,,
88:DC:96:0C:82:9E,1,WPA2,CCMP,PSK,-79,Frontline,,
88:DC:96:25:4A:38,1,WPA2,CCMP,PSK,-73,Bosco,,
88:DC:96:37:27:58,6,WPA2,CCMP,PSK,-81,Frontline,,
88:F7:C7:33:84:A2,1,WPA2WPA,CCMP TKIP,PSK,-65,HOME-84A2,,
88:F7:C7:34:6B:4A,6,WPA2WPA,CCMP TKIP,PSK,-75,HOME-6B4A,,
88:F7:C7:3F:A3:92,1,WPA2WPA,CCMP TKIP,PSK,-71,not4you2,,
88:F7:C7:68:70:17,1,WPA2WPA,CCMP TKIP,PSK,-69,HOME-7017,,
88:F7:C7:8F:FC:4F,6,WPA2WPA,CCMP TKIP,PSK,-69,HOME-FC4F,,
88:F7:C7:98:8B:0F,11,WPA2WPA,CCMP TKIP,PSK,-65,bluecat,,
88:F7:C7:D4:62:43,1,WPA2WPA,CCMP TKIP,PSK,-61,HOME-6243,,
8A:F7:C7:33:84:A3,1,WPA2,CCMP,PSK,-67,None,,
8A:F7:C7:33:84:A4,1,OPN,,,-65,xfinitywifi,,
8A:F7:C7:34:6B:4B,6,WPA2,CCMP,PSK,-77,None,,
8A:F7:C7:34:6B:4C,6,OPN,,,-77,xfinitywifi,,
8A:F7:C7:3F:53:AC,1,OPN,,,-65,xfinitywifi,,
8A:F7:C7:3F:A3:93,1,WPA2,CCMP,PSK,-71,None,,
8A:F7:C7:3F:A3:94,1,OPN,,,-71,xfinitywifi,,
8A:F7:C7:68:70:18,1,WPA2,CCMP,PSK,-75,None,,
8A:F7:C7:68:70:19,1,OPN,,,-69,xfinitywifi,,
8A:F7:C7:8F:FC:40,6,WPA2,CCMP,PSK,-69,None,,
8A:F7:C7:8F:FC:41,6,OPN,,,-69,xfinitywifi,,
8A:F7:C7:98:8B:00,11,WPA2,CCMP,PSK,-65,None,,
8A:F7:C7:D4:62:44,1,WPA2,CCMP,PSK,-61,None,,
8A:F7:C7:D4:62:45,1,OPN,,,-61,xfinitywifi,,
8C:04:FF:79:EA:AD,11,WPA2WPA,CCMP TKIP,PSK,-75,chico,,
8C:04:FF:AD:D6:61,1,WPA2WPA,CCMP TKIP,PSK,-73,HOME-D661,,
8C:04:FF:B6:EA:C9,11,WPA2WPA,CCMP TKIP,PSK,-61,susanne,,
8C:04:FF:ED:43:77,11,WPA2WPA,CCMP TKIP,PSK,-77,HOME-4377,,
8C:04:FF:F0:0D:7F,1,WPA2WPA,CCMP TKIP,PSK,-79,JAY-LS-PL,,
8C:7F:3B:9A:9C:2D,11,WPA2,CCMP,PSK,-69,MOTOROLA-E33D0,,
8C:DC:D4:68:78:94,6,WPA2,CCMP,PSK,-67,HP-Print-94-Officejet 4630,,
8C:DC:D4:6B:8F:F8,6,WPA2,CCMP,PSK,-55,HP-Print-F8-Officejet 4630,,
8E:04:FF:79:EA:AE,11,WPA2,CCMP,PSK,-77,None,,
8E:04:FF:79:EA:AF,11,OPN,,,-75,xfinitywifi,,
8E:04:FF:AD:D6:63,11,OPN,,,-81,xfinitywifi,,
8E:04:FF:B6:EA:CA,11,WPA2,CCMP,PSK,-57,None,,
8E:04:FF:B6:EA:CB,11,OPN,,,-57,xfinitywifi,,
8E:04:FF:ED:43:78,11,WPA2,CCMP,PSK,-79,None,,
8E:04:FF:F0:0D:70,1,WPA2,CCMP,PSK,-73,None,,
8E:04:FF:F0:0D:71,1,OPN,,,-73,xfinitywifi,,
90:1A:CA:16:6F:C0,6,WPA2WPA,CCMP TKIP,PSK,-67,HOME-6FC2,,
90:1A:CA:24:B3:A0,6,WPA2WPA,CCMP TKIP,PSK,-65,Prosperity,,
90:1A:CA:39:A3:B0,6,WPA2WPA,CCMP TKIP,PSK,-51,HOME-A3B2,,
90:1A:CA:3D:8F:80,11,WPA2WPA,CCMP TKIP,PSK,-45,Smurfy,,
90:1A:CA:3E:DB:B0,6,WPA2WPA,CCMP TKIP,PSK,-59,HOME-DBB2,,
90:1A:CA:BD:B3:D0,1,WPA2WPA,CCMP TKIP,PSK,-73,HOME-B3D2,,
90:6C:AC:0F:B0:7F,6,WPA2,CCMP,PSK,-61,Mychelle Guest,,
90:72:40:10:70:E8,6,WPA2,CCMP,PSK,-79,Lovitch Family Network,,
90:72:40:10:AC:C2,11,WPA2,CCMP,PSK,-73,Winnie,,
90:72:40:18:93:54,11,WPA2,CCMP,PSK,-75,Johnson's Airport Extreme,,
90:72:40:19:92:74,6,WPA2WPA,CCMP TKIP,PSK,-67,Bassano,,
90:72:40:1C:1A:28,6,WPA2,CCMP,PSK,-65,HeatherAndMike,,
90:72:40:1F:8A:C4,6,WPA2,CCMP,PSK,-83,Allan's Wi-Fi Network,,
90:72:40:21:00:C0,1,WPA2,CCMP,PSK,-61,Happylujah!,,
90:72:40:23:EB:52,1,WPA2,CCMP,PSK,-69,Pretty Fly For a Wifi,,
90:72:40:25:44:30,6,WPA2,CCMP,PSK,-73,Danny's Wi-Fi Network,,
90:72:40:26:EC:F4,2,WPA2,CCMP,PSK,-79,Frisky Dingo,,
90:72:40:27:13:06,11,WPA2,CCMP,PSK,-71,Al's Wi-Fi Network,,
90:72:40:27:1B:E8,11,WPA2,CCMP,PSK,-75,etoile,,
90:84:0D:D5:FB:B1,11,WPA2,CCMP,PSK,-83,Peter & Amanda Network,,
90:84:0D:DE:3D:9B,11,WPA2,CCMP,PSK,-79,Mos Eisley,,
90:A7:C1:0D:06:28,1,WPA2WPA,CCMP TKIP,PSK,-81,Savant,,
90:A7:C1:0D:30:64,11,OPN,,,-57,Pakedge2.4-1,,
90:C7:92:24:39:F0,11,WPA,TKIP,PSK,-79,HOME-39F2,,
90:C7:92:24:53:10,1,WPA2WPA,CCMP TKIP,PSK,-73,HOME-5312,,
90:EF:68:0B:99:D5,1,WPA2WPA,CCMP TKIP,PSK,-75,CenturyLink4894,,
90:F6:52:E1:03:5D,1,WPA2WPA,CCMP TKIP,PSK,-79,None,,
92:1A:CA:16:6F:C0,6,WPA2,CCMP,PSK,-69,None,,
92:1A:CA:24:B3:A0,6,WPA2,CCMP,PSK,-49,None,,
92:1A:CA:39:A3:B0,6,WPA2,CCMP,PSK,-41,None,,
92:1A:CA:3D:8F:80,11,WPA2,CCMP,PSK,-47,None,,
92:1A:CA:3E:DB:B0,6,WPA2,CCMP,PSK,-63,None,,
92:1A:CA:BD:B3:D0,1,WPA2,CCMP,PSK,-73,None,,
92:28:1A:1C:40:70,6,WPA2,CCMP,PSK,-63,HeatherAndMikeGuest,,
92:6B:3D:1C:6D:80,1,WPA2,CCMP,PSK,-71,None,,
92:6B:3D:9D:6E:00,6,WPA2,CCMP,PSK,-79,None,,
92:87:7C:3E:26:C0,1,WPA2,CCMP,PSK,-57,None,,
92:87:7C:40:CA:A0,1,WPA2,CCMP,PSK,-75,None,,
92:87:7C:69:1C:A0,1,WPA2,CCMP,PSK,-63,None,,
92:C7:92:24:39:F0,11,WPA2,CCMP,PSK,-79,None,,
92:C7:92:24:53:10,1,WPA2,CCMP,PSK,-75,None,,
92:C7:92:28:55:40,11,WPA2,CCMP,PSK,-67,None,,
92:C7:92:2E:FC:30,1,WPA2,CCMP,PSK,-81,None,,
92:EF:68:02:2A:B0,6,WPA2WPA,CCMP TKIP,PSK,-59,CenturyLink5138,,
92:EF:68:09:11:F0,1,WPA2WPA,CCMP TKIP,PSK,-75,corepower1817,,
92:EF:68:68:43:78,2,WPA2WPA,CCMP TKIP,PSK,-79,CenturyLink3160,,
92:EF:68:6A:2A:D0,4,WPA2WPA,CCMP TKIP,PSK,-79,Susaan,,
92:EF:68:B2:19:00,6,WPA2WPA,CCMP TKIP,PSK,-69,CenturyLink0303,,
94:10:3E:00:A1:D9,11,WPA2WPA,CCMP TKIP,PSK,-81,LW_WRT1900AC,,
94:10:3E:0A:34:C7,1,WPA2,CCMP,PSK,-63,malek,,
94:10:3E:0E:2F:C0,6,WPA2WPA,CCMP TKIP,PSK,-67,ACL,,
94:10:3E:15:D1:8D,1,WPA2WPA,CCMP TKIP,PSK,-79,Linksys08012,,
94:10:3E:53:EE:3C,2,WPA2,CCMP,PSK,-71,belkin.e3c,,
94:10:3E:7C:48:D1,2,WPA2WPA,CCMP TKIP,PSK,-71,applecore,,
94:10:3E:80:05:20,11,WPA2,CCMP,PSK,-55,RAL,,
94:10:3E:FF:90:56,11,WPA2,CCMP,PSK,-75,ZipNetwork,,
94:44:52:11:EF:9F,11,WPA2,CCMP,PSK,-69,Sappho,,
94:57:A5:9A:A7:E3,11,WPA2,CCMP,PSK,-81,HP-Print-E3-Officejet Pro 8610,,
94:87:7C:3E:26:C0,1,WPA2WPA,CCMP TKIP,PSK,-59,HOME-26C2,,
94:87:7C:40:CA:A0,1,WPA2WPA,CCMP TKIP,PSK,-79,HOME-CAA2,,
94:87:7C:69:1C:A0,1,WPA2WPA,CCMP TKIP,PSK,-65,HOME-1CA2,,
94:FB:B2:97:1E:4B,6,WPA2WPA,CCMP TKIP,PSK,-71,Traveler,,
96:10:3E:00:A1:DB,11,OPN,,,-81,LW_WRT1900AC-guest,,
96:10:3E:0E:2F:C2,6,OPN,,,-63,ACL-guest,,
96:10:3E:14:D1:8D,1,OPN,,,-79,Linksys08012-guest,,
96:10:3E:7C:48:D2,2,OPN,,,-75,Applecore-guest,,
96:10:3E:B4:7F:9F,6,OPN,,,-57,belkin.f9e.guests,,
96:10:3E:FF:90:57,11,OPN,,,-75,belkin.056.guests,,
96:1A:CA:16:6F:C0,6,OPN,,,-69,xfinitywifi,,
96:1A:CA:3D:8F:80,11,OPN,,,-47,xfinitywifi,,
96:1A:CA:3E:DB:B0,6,OPN,,,-59,xfinitywifi,,
96:1A:CA:A9:F9:30,6,OPN,,,-79,xfinitywifi,,
96:1A:CA:BD:B3:D0,1,OPN,,,-73,xfinitywifi,,
96:6B:3D:1C:6D:80,1,OPN,,,-73,xfinitywifi,,
96:87:7C:40:CA:A0,1,OPN,,,-79,xfinitywifi,,
96:87:7C:69:1C:A0,1,OPN,,,-65,xfinitywifi,,
96:C7:92:24:53:10,1,OPN,,,-73,xfinitywifi,,
96:C7:92:28:55:40,11,OPN,,,-73,xfinitywifi,,
96:EA:E8:E7:90:D6,11,WPA2WPA,CCMP TKIP,PSK,-71,None,,
96:EA:E8:E7:AB:E3,11,WPA2WPA,CCMP TKIP,PSK,-55,None,,
98:6B:3D:1C:6D:80,1,WPA2WPA,CCMP TKIP,PSK,-75,moffittloft,,
98:DE:D0:21:06:75,4,WPA2,CCMP,PSK,-67,ARDA2,,
98:DE:D0:25:80:1F,11,WPA2,CCMP,PSK,-81,JLB 1058,,
98:DE:D0:62:80:1E,11,WPA2WPA,CCMP TKIP,PSK,-79,1058 Guest,,
98:FC:11:4A:0F:4E,1,WPA2,CCMP,PSK,-75,PostNet,,
98:FC:11:51:3A:6E,1,WPA2,CCMP,PSK,-77,CiscoD9433,,
98:FC:11:58:53:0A,7,OPN,,,-73,kinnie,,
98:FC:11:67:62:89,1,WPA,TKIP,PSK,-53,Schempp,,
98:FC:11:7C:96:54,11,WPA2WPA,CCMP TKIP,PSK,-71,RubyLola,,
98:FC:11:8A:92:D4,6,WPA,TKIP,PSK,-79,ball,,
98:FC:11:AB:7C:95,11,WPA2WPA,CCMP TKIP,PSK,-73,ESLC-East,,
98:FC:11:B0:4F:F4,6,WPA,TKIP,PSK,-73,mallison2,,
98:FC:11:FC:D4:90,2,WPA2WPA,CCMP TKIP,PSK,-77,American Legion 111,,
9C:34:26:07:76:98,11,WPA2WPA,CCMP TKIP,PSK,-67,FBI surveillance van #753,,
9C:34:26:1F:F9:0C,11,WPA2WPA,CCMP TKIP,PSK,-69,ralphie1,,
9C:34:26:2F:D5:8E,11,WPA2WPA,CCMP TKIP,PSK,-51,SCUFFY1,,
9C:34:26:53:0C:2A,6,WPA2WPA,CCMP TKIP,PSK,-83,Martinez Family,,
9C:34:26:53:4C:9E,1,WPA2WPA,CCMP TKIP,PSK,-75,6812,,
9C:34:26:77:DD:C0,11,WPA2WPA,CCMP TKIP,PSK,-77,Secure,,
9C:34:26:80:E8:D4,6,WPA2WPA,CCMP TKIP,PSK,-65,Onken22,,
9C:34:26:8D:3F:12,6,WPA2WPA,CCMP TKIP,PSK,-77,Desert-2.4,,
9C:34:26:94:CA:CA,1,WPA2WPA,CCMP TKIP,PSK,-75,Chipy,,
9C:34:26:94:D9:66,1,WPA2WPA,CCMP TKIP,PSK,-71,jwhitney,,
9C:34:26:94:FD:2E,11,WPA2WPA,CCMP TKIP,PSK,-75,gooseberryfarm,,
9C:97:26:1B:A1:EF,9,WPA2,CCMP,PSK,-75,Metgirls,,
9C:97:26:80:EA:07,11,WPA2,CCMP,PSK,-65,TIG,,
9C:AD:97:04:4C:DE,6,OPN,,,-65,HP-Print-DE-LaserJet 1102,,
9C:AD:97:1D:CF:93,1,WPA2,CCMP,PSK,-71,HP-Print-93-LaserJet Pro MFP,,
9E:34:26:1F:F9:0C,11,WPA2WPA,CCMP TKIP,PSK,-71,None,,
9E:34:26:2F:91:14,1,WPA2WPA,CCMP TKIP,PSK,-67,None,,
9E:34:26:2F:D5:8E,11,WPA2WPA,CCMP TKIP,PSK,-57,None,,
9E:34:26:53:1A:A8,6,WPA2WPA,CCMP TKIP,PSK,-81,None,,
9E:34:26:53:4C:9E,1,WPA2WPA,CCMP TKIP,PSK,-69,None,,
9E:34:26:77:DD:C0,11,WPA2WPA,CCMP TKIP,PSK,-77,None,,
9E:34:26:77:F1:48,11,WPA2WPA,CCMP TKIP,PSK,-83,None,,
9E:34:26:80:E8:D4,6,WPA2WPA,CCMP TKIP,PSK,-67,None,,
9E:34:26:8D:3F:12,6,WPA2WPA,CCMP TKIP,PSK,-75,None,,
9E:34:26:94:D9:66,1,WPA2WPA,CCMP TKIP,PSK,-73,None,,
9E:34:26:95:B9:9E,1,WPA2WPA,CCMP TKIP,PSK,-77,None,,
A0:1D:48:1C:A1:FA,1,WPA2,CCMP,PSK,-61,HP-Print-FA-Officejet 6700,,
A0:21:B7:71:07:53,6,WPA2,CCMP,PSK,-79,SUBCOMANDANTE,,
A0:21:B7:80:11:4E,6,WPA2WPA,CCMP TKIP,PSK,-85,BeltWiFi_EXT,,
A0:21:B7:A2:1A:A2,2,WPA2,CCMP,PSK,-69,LipeHome,,
A0:2B:B8:2B:89:E7,6,WPA2,CCMP,PSK,-63,HP-Print-E7-Officejet Pro X476dw,,
A0:2B:B8:6B:53:14,3,WPA2,CCMP,PSK,-81,HP-Print-14-Officejet Pro 8610,,
A0:2B:B8:6B:B0:31,6,OPN,,,-79,HP-Print-31-Officejet Pro 8610,,
A0:63:91:3C:0D:FB,8,WPA2,CCMP,PSK,-81,Fightclub _2GEXT,,
A0:63:91:40:3A:E6,7,OPN,,,-63,SuperRupairCust,,
A0:63:91:58:F1:2B,1,WPA2,CCMP,PSK,-73,NETGEAR18,,
A0:63:91:6C:D4:FA,1,WPA2,CCMP,PSK,-81,NETGEAR55,,
A0:63:91:8C:00:B6,1,WPA2,CCMP,PSK,-63,NETGEAR24,,
A0:63:91:9D:18:DB,11,WPA2,CCMP,PSK,-73,StEeLeRs,,
A0:63:91:A6:7F:A1,9,WPA2,CCMP,PSK,-51,NETGEAR73,,
A0:63:91:BD:36:BA,11,WPA2,CCMP,PSK,-69,SHOPKEEP,,
A0:63:91:CC:CC:96,3,WPA2,CCMP,PSK,-79,MADCOW,,
A0:63:91:CC:CC:FC,1,WPA2,CCMP,PSK,-63,DoItForTheLove,,
A0:63:91:CD:47:C2,1,WPA2,CCMP,PSK,-77,NETGEAR49,,
A0:63:91:D9:E4:AF,10,WPA2,CCMP,PSK,-77,NETGEAR19,,
A0:63:91:E3:20:75,7,WPA2,CCMP,PSK,-81,AMBLITEL1,,
A0:63:91:E4:DB:67,8,WPA2,CCMP,PSK,-51,NETGEAR01,,
A0:63:91:EA:43:83,1,WPA2,CCMP,PSK,-69,B,,
A0:63:91:F0:65:E0,10,WPA2,CCMP,PSK,-79,NETGEAR35,,
A0:A3:E2:01:B1:85,11,WPA2WPA,CCMP TKIP,PSK,-75,CenturyLink4784,,
